gm,wm,csf,brain
14.06782553,114.1130337,14.4882265,14.06782553
14.41092838,109.4905275,14.20105955,14.41092838
13.25005173,14.55775879,4.924784918,14.4882265
9.589139877,118.6918196,62.56956648,14.20105955
12.56846776,116.2951009,13.28830481,13.25005173
10.7571758,14.62334677,7.75562322,4.924784918
14.56682871,14.44191143,11.59126031,9.589139877
14.79165563,14.45159294,13.70703623,12.56846776
14.75099357,106.5828847,14.3356845,10.7571758
14.73060931,14.6491752,14.06744142,62.56956648
14.77968994,14.60720383,13.66794175,14.56682871
14.6297449,14.61058429,14.76949111,14.79165563
14.32759356,113.4818078,10.43507299,14.75099357
14.3227098,95.26258911,3.028090063,14.73060931
14.28981224,14.68897067,14.07757786,14.77968994
14.18746383,14.56145966,14.38427846,14.6297449
22.40582596,14.56418404,80.55655797,14.32759356
106.4972366,111.2905825,13.23702951,13.28830481
14.83298439,84.3038833,13.60175909,7.75562322
14.70294632,14.78929585,14.61415411,11.59126031
14.74134523,14.5419938,13.2541282,13.70703623
14.69745441,14.53432991,69.72521958,14.3356845
14.71177863,108.0103253,11.32875859,14.3227098
14.67123434,14.61332555,12.94286188,14.28981224
14.80093546,14.44041495,13.9598081,14.18746383
14.64939757,88.42646171,14.40713846,14.06744142
14.67291763,10.4515763,42.59684196,13.66794175
14.64964721,13.78185618,13.48318657,22.40582596
14.60395415,13.96393274,13.18581958,106.4972366
14.78607889,10.12593238,11.54329552,14.83298439
14.55087466,14.00683198,9.534004335,14.70294632
14.47628712,12.95979441,14.76329232,14.74134523
136.0070859,12.82157759,14.38765695,14.69745441
118.3804212,14.25804547,14.20179273,14.71177863
14.6389901,14.41060495,14.13306177,14.67123434
14.64617693,13.91430392,43.50711728,14.80093546
14.73678321,13.16145854,10.24406823,14.76949111
14.78280776,13.79678233,13.81088581,10.43507299
14.7396219,14.42796199,12.46507754,3.028090063
14.73648993,10.76890086,10.0616788,14.07757786
14.25798433,13.89229462,4.278013801,14.64939757
12.7457549,13.58906748,15.66962656,14.67291763
13.79523218,10.40259073,5.619999834,14.64964721
14.47566154,6.520385704,9.607878687,14.60395415
14.4724967,4.850657159,8.489327851,14.78607889
14.61464042,2.020820711,7.327067051,14.55087466
14.38961334,141.8076227,10.73676053,14.47628712
14.58093415,95.04001591,21.82873368,14.38427846
14.46679097,107.9441775,14.33710016,80.55655797
14.63906264,124.4022077,4.036908454,136.0070859
14.49818691,96.6045859,4.317758781,118.3804212
26.66013233,104.3048105,9.120059017,14.6389901
122.555175,106.6098354,1.962497575,14.64617693
90.66918884,118.2517762,6.305101241,14.73678321
93.10477744,107.0966765,3.664001894,14.78280776
14.68422938,89.65038689,8.332256228,14.7396219
14.68897027,101.5170108,2.486359215,14.73648993
14.7520688,120.817089,27.62197886,14.25798433
14.70760284,121.8858179,9.167247118,12.7457549
14.75646151,105.1704718,2.832780751,13.23702951
14.60009188,95.29811968,1.826247997,13.60175909
13.00717166,84.83556912,2.203162519,13.79523218
14.76227226,103.1611523,4.540697927,14.47566154
14.64227705,98.47440812,6.12145905,14.4724967
14.64215255,91.33214708,3.151785151,14.61464042
14.59749771,103.6875201,9.820206362,14.38961334
14.59189746,79.55423141,14.18870815,14.58093415
14.57524935,66.89172001,7.197696004,14.46679097
14.53143171,77.3847495,4.793766237,14.63906264
14.52082425,95.92181401,5.915891683,14.49818691
14.44378423,91.52421982,4.050471545,14.61415411
14.01611387,85.84540679,3.328216643,13.2541282
108.3858975,99.74106266,8.841095624,26.66013233
126.2653138,95.52919867,12.81923854,69.72521958
81.58511062,66.32723402,4.549058518,122.555175
125.7746191,82.20060275,3.776271049,90.66918884
14.64213496,77.4546845,6.228700314,93.10477744
14.6768165,97.87867201,7.246837255,114.1130337
14.69076991,90.27634064,5.643785534,14.68422938
14.69486334,88.51427971,2.389944497,14.68897027
14.72252893,80.21858928,4.9830608,14.7520688
14.49983428,79.88550412,5.417430516,14.70760284
14.28359615,78.46673354,6.086498567,14.75646151
14.63941889,86.31995837,9.935994892,14.60009188
14.51945218,63.21853215,7.518998547,13.00717166
14.70363509,70.72734633,4.670573191,11.32875859
